person_id,الشهرة,اسم العلم (ism),الكنية (kunya),النسب (nasab),النسبة (nisba),اللقب (laqab),الأصل,الإجراء
PER-015,ابن طفيل,محمد,أبو بكر,بن عبد الملك بن طفيل,القيسي,,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-016,ابن رشد,محمد,أبو الوليد,بن أحمد بن محمد بن رشد,القرطبي,الحفيد,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-017,ابن عربي,محمد,أبو بكر,بن علي بن محمد,الحاتمي; الطائي,محيي الدين,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-018,لسان الدين ابن الخطيب,محمد,أبو عبد الله,بن عبد الله,السلماني,لسان الدين,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-019,ابن سعيد المغربي,علي,أبو الحسن,بن موسى بن سعيد,المغربي,,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-020,الإدريسي,محمد,أبو عبد الله,بن محمد,الإدريسي,,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-021,ابن البيطار,عبد الله,أبو محمد,بن أحمد,المالقي,ضياء الدين,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-022,ابن قزمان,محمد,أبو بكر,بن عيسى بن عبد الملك بن قزمان,القرطبي,,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-023,حفصة الركونية,حفصة,,بنت الحاج,الركونية,,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-024,صموئيل بن نغريلة,إسماعيل,أبو إبراهيم,بن يوسف بن نغريلة,,الناغيد (بالعبرية),ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-030,محمد الأول ابن الأحمر,محمد,أبو عبد الله,بن يوسف بن نصر,الأنصاري الخزرجي,الغالب بالله,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-031,محمد الثاني عشر أبو عبد الله,محمد,أبو عبد الله,بن علي بن سعد,النصري,,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-010,ابن عمار,,,,,,فارغ عمدًا,يُملأ من PUA أو BdA (لم أملأ ما لست متيقنًا منه)
PER-014,ابن باجة,,,,,,فارغ عمدًا,يُملأ من PUA أو BdA (لم أملأ ما لست متيقنًا منه)
PER-025,يهوذا اللاوي,,,,,,فارغ عمدًا,يُملأ من PUA أو BdA (لم أملأ ما لست متيقنًا منه)
PER-026,موسى بن عزرا,,,,,,فارغ عمدًا,يُملأ من PUA أو BdA (لم أملأ ما لست متيقنًا منه)
PER-027,عباس بن ناصح,,,,,,فارغ عمدًا,يُملأ من PUA أو BdA (لم أملأ ما لست متيقنًا منه)
PER-W01,عائشة بنت أحمد القرطبية,,,,,,فارغ عمدًا,يُملأ من PUA أو BdA (لم أملأ ما لست متيقنًا منه)
PER-W02,أم الحسن الطنجالية,,,,,,فارغ عمدًا,يُملأ من PUA أو BdA (لم أملأ ما لست متيقنًا منه)
PER-028,المقتدر بن هود,,,,,,فارغ عمدًا,يُملأ من PUA أو BdA (لم أملأ ما لست متيقنًا منه)
PER-029,مجاهد العامري,,,,,,فارغ عمدًا,يُملأ من PUA أو BdA (لم أملأ ما لست متيقنًا منه)
PER-032,محمد الثاني الفقيه,,,,,,فارغ عمدًا,يُملأ من PUA أو BdA (لم أملأ ما لست متيقنًا منه)
PER-033,يوسف الأول,,,,,,فارغ عمدًا,يُملأ من PUA أو BdA (لم أملأ ما لست متيقنًا منه)
PER-034,محمد الخامس الغني بالله,,,,,,فارغ عمدًا,يُملأ من PUA أو BdA (لم أملأ ما لست متيقنًا منه)
PER-035,ابن زمرك,,,,,,فارغ عمدًا,يُملأ من PUA أو BdA (لم أملأ ما لست متيقنًا منه)
PER-036,أبو الحسن علي,,,,,,فارغ عمدًا,يُملأ من PUA أو BdA (لم أملأ ما لست متيقنًا منه)
PER-037,محمد الزغل,,,,,,فارغ عمدًا,يُملأ من PUA أو BdA (لم أملأ ما لست متيقنًا منه)
