الشاهد,الإسناد,القيمة,حالة الإسناد,المصدر,الموضع,النص,الموقف,المطابقة وطريقتها,ملاحظة,الرابط
ATT-011,AST-006,1031,موثّق,دولة الإسلام في الأندلس,ج1 ص669 (بحسب ترقيم الشاملة للمطبوع)، الكتاب الرابع، الفصل الثاني: دولة بنى حمود,(ذو القعدة سنة ٤٢٢ هـ - نوفمبر سنة ١٠٣١ م),يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),في السياق نفسه: «والتخلص جملة من بني أمية، وإبطال رسم الخلافة»,https://shamela.ws/book/1009/658
ATT-012,AST-006,1031,موثّق,UNESCO — Historic Centre of Cordoba,Statement of Outstanding Universal Value,the Caliphate of Cordoba (929-1031),يدعم,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),,https://whc.unesco.org/en/list/313
ATT-013,AST-006,1031,موثّق,Metropolitan Museum — Heilbrunn Timeline of Art History,عنوان المقال,The Art of the Umayyad Period in Spain (711–1031),يدعم جزئيًا,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),العنوان يحدّ الحقبة الأموية بـ1031,https://www.metmuseum.org/essays/the-art-of-the-umayyad-period-in-spain-711-1031
ATT-014,AST-007,756–788 (أمير),حُسم الخلاف,Metropolitan Museum — Heilbrunn Timeline of Art History,فقرة عبد الرحمن الأول,'Abd al-Rahman I (r. 756–88),يدعم,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),,https://www.metmuseum.org/essays/the-art-of-the-umayyad-period-in-spain-711-1031
ATT-015,AST-007,756–788 (أمير),حُسم الخلاف,دولة الإسلام في الأندلس,ج1 ص192 (بحسب ترقيم الشاملة للمطبوع)، الفصل السادس: خلال عبد الرحمن ومآثره,توفي عبد الرحمن الأموي في الرابع والعشرين من ربيع الآخر سنة ١٧٢ هـ (٢ أكتوبر سنة ٧٨٧ م),يخالف,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),عنان يحوّل ١٧٢هـ إلى ٧٨٧م؛ ٢٤ ربيع الآخر ١٧٢هـ يقع فعليًا نحو ٣٠ سبتمبر/١ أكتوبر ٧٨٨م، فالأرجح خطأ تحويل/طباعة، لكنه تعارض مدوَّن,https://shamela.ws/book/1009/190
ATT-016,AST-008,912–929 (أمير),موثّق,دولة الإسلام في الأندلس,ج1 ص373 (بحسب ترقيم الشاملة للمطبوع)، الفصل الأول: ولاية عبد الرحمن الناصر,في مستهل ربيع الأول سنة ٣٠٠ هـ (١٥ أكتوبر سنة ٩١٢ م),يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),تاريخ وفاة الأمير عبد الله وتولي حفيده عبد الرحمن في اليوم نفسه,https://shamela.ws/book/1009/365
ATT-017,AST-008,912–929 (أمير),موثّق,Discover Islamic Art (Museum With No Frontiers),Description,Abd al-Rahman III (r. AH 299–350 / AD 912–61),يدعم جزئيًا,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),يدعم 912 بدايةً؛ لاحظ أن الموقع يكتب 299هـ بدل 300هـ,https://islamicart.museumwnf.org/database_item.php?id=monument%3Bisl%3Bes%3Bmon01%3B2%3Ben
ATT-018,AST-009,929–961 (خليفة),موثّق,Discover Islamic Art (Museum With No Frontiers),Description,Abd al-Rahman III (r. AH 299–350 / AD 912–61),يدعم جزئيًا,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),يدعم نهاية 961,https://islamicart.museumwnf.org/database_item.php?id=monument%3Bisl%3Bes%3Bmon01%3B2%3Ben
ATT-019,AST-009,929–961 (خليفة),موثّق,دولة الإسلام في الأندلس,ج1 ص483 (بحسب ترقيم الشاملة للمطبوع)، الكتاب الثاني ق4، الفصل الأول: الحكم المستنصر بالله,وبويع الحكم في اليوم التالي لوفاة أبيه، في الثالث من رمضان سنة ٣٥٠ هـ (١٦ أكتوبر ٩٦١ م),يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),يستلزم وفاة الناصر ٢ رمضان ٣٥٠هـ/١٥ أكتوبر ٩٦١م,https://shamela.ws/book/1009/474
ATT-020,AST-009,929–961 (خليفة),موثّق,UNESCO — Historic Centre of Cordoba,Brief Synthesis,"In 929, Abderraman III established it as the headquarters of the independent Caliphate.",يدعم جزئيًا,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),يدعم البداية 929 فقط,https://whc.unesco.org/en/list/313
ATT-021,AST-010,961–976 (خليفة),موثّق,Discover Islamic Art (Museum With No Frontiers),Description,al-Hakam II (r. AH 350–66 / AD 961–76),يدعم,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),,https://islamicart.museumwnf.org/database_item.php?id=monument%3Bisl%3Bes%3Bmon01%3B2%3Ben
ATT-022,AST-010,961–976 (خليفة),موثّق,دولة الإسلام في الأندلس,ج1 ص517 (بحسب ترقيم الشاملة للمطبوع)، الفصل الثاني: هشام المؤيد بالله,لما توفي الحكم المستنصر بالله، في اليوم الثاني من صفر سنة ٣٦٦ هـ,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),٢ صفر ٣٦٦هـ ≈ ١ أكتوبر ٩٧٦م (تحويل تقريبي),https://shamela.ws/book/1009/508
ATT-023,AST-010,961–976 (خليفة),موثّق,Metropolitan Museum — Heilbrunn Timeline of Art History,فقرة الحكم الثاني,al-Hakam II (r. 961–76),يدعم,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),,https://www.metmuseum.org/essays/the-art-of-the-umayyad-period-in-spain-711-1031
ATT-024,AST-011,756–756 / 138هـ,موثّق,دولة الإسلام في الأندلس,ج1 ص154 (بحسب ترقيم الشاملة للمطبوع),وبويع في الحال بالإمارة، وذلك في العاشر من ذى الحجة سنة ١٣٨هـ (١٣ مايو سنة ٧٥٦ م),يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),,https://shamela.ws/book/1009/152
ATT-025,AST-012,929–929 / 316هـ,حُسم الخلاف,دولة الإسلام في الأندلس,ج1 ص429 (بحسب ترقيم الشاملة للمطبوع)، الفصل الأول: ولاية عبد الرحمن الناصر,ونفذ الأمر بذلك في يوم الجمعة مستهل ذي الحجة سنة ٣١٦ هـ,يدعم,مطابق حرفيًا (فحص مباشر),,https://shamela.ws/book/1009/421
ATT-026,AST-012,929–929 / 316هـ,حُسم الخلاف,The Coinage of al-Andalus,p. 74,"In the year 316/929 the eighth emir of al-Andalus, 'Abd al-Raḥmān III, was proclaimed caliph in Cordoba.",يدعم,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),,https://shedet.journals.ekb.eg/article_87829_4b1aefcbf0be7e09c877183df0d16b06.pdf
ATT-027,AST-012,929–929 / 316هـ,حُسم الخلاف,دولة الإسلام في الأندلس,ج1 ص401 (بحسب ترقيم الشاملة للمطبوع)، حاشية (١),كان عبد الرحمن قد اتخذ سمة الخلافة وتلقب بالناصر لدين الله منذ سنة ٣١٧ هـ,يخالف,مطابق حرفيًا (فحص مباشر),تعارض داخلي عند عنان: المتن ٣١٦هـ (ص429) والحاشية ٣١٧هـ,https://shamela.ws/book/1009/393
ATT-028,AST-015,خراب مدينة الزهراء في الفتنة: دخلها البربر أواخر ربيع الأول 401هـ (نوفمبر 1010م)، واستُؤصل خرابها في أيام المستكفي 414–416هـ (1024–1025م),صُحح وموثّق,UNESCO — Caliphate City of Medina Azahara,Description,laid to waste during the civil war that put an end to the Caliphate in 1009-1010,يدعم جزئيًا,مطابق حرفيًا (فحص مباشر),يحصر الخراب في 1009–1010، والمصادر الأولية تجعل الخراب التام في أيام المستكفي (414–416هـ/1024–1025م).,https://whc.unesco.org/en/list/1560
ATT-029,AST-015,خراب مدينة الزهراء في الفتنة: دخلها البربر أواخر ربيع الأول 401هـ (نوفمبر 1010م)، واستُؤصل خرابها في أيام المستكفي 414–416هـ (1024–1025م),صُحح وموثّق,دولة الإسلام في الأندلس,ج1 ص440 (بحسب ترقيم الشاملة للمطبوع)، الفصل الثاني: خلال الناصر ومآثره,ففي ربيع الأول سنة ٤٠١ هـ (نوفمبر سنة ١٠١٠ م) زحفت قوات البربر,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),يتبعها: «واقتحموا في طريقهم مدينة الزهراء» — يحدد 1010 لا 1009,https://shamela.ws/book/1009/432
ATT-030,AST-015,خراب مدينة الزهراء في الفتنة: دخلها البربر أواخر ربيع الأول 401هـ (نوفمبر 1010م)، واستُؤصل خرابها في أيام المستكفي 414–416هـ (1024–1025م),صُحح وموثّق,Discover Islamic Art (Museum With No Frontiers),Description,"The city lasted 74 years, after which it was systematically destroyed",يدعم جزئيًا,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),936+74≈1010؛ لا سنة صريحة,https://islamicart.museumwnf.org/database_item.php?id=monument%3Bisl%3Bes%3Bmon01%3B2%3Ben
ATT-031,AST-016,891–961,صُحح وموثّق,دولة الإسلام في الأندلس,ج1 ص373 (بحسب ترقيم الشاملة للمطبوع),ولد عبد الرحمن قبيل مقتل أبيه بأسابيع قلائل في ٢٢ رمضان سنة ٢٧٧ هـ (ديسمبر سنة ٨٩٠ م),يدعم (بعد التصحيح),مطابق حرفيًا (فحص مباشر),الميلاد 890/891 لا 889 (٢٢ رمضان ٢٧٧هـ ≈ ٧ يناير ٨٩١م) | خالف القيمة السابقة؛ يدعم القيمة المصححة في v5.2.,https://shamela.ws/book/1009/365
ATT-032,AST-016,891–961,صُحح وموثّق,Encyclopaedia Britannica (مرجعي عام),رأس المقالة,"born January 891 ... died October 15, 961",يدعم (بعد التصحيح),مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),يخالف الميلاد 889، ويدعم الوفاة 961. الاقتباس ملخّص من أداة الجلب وليس نصًا حرفيًا كاملًا | خالف القيمة السابقة؛ يدعم القيمة المصححة في v5.2.,https://www.britannica.com/biography/Abd-al-Rahman-III
ATT-033,AST-017,عبد الرحمن | أبو المطرف | بن محمد بن عبد الله | الأموي | الناصر لدين الله,موثّق,Encyclopaedia Britannica (مرجعي عام),رأس المقالة,ʿAbd al-Raḥmān ibn Muḥammad ibn ʿAbd Allāh ibn Muḥammad ibn ʿAbd al-Raḥmān ibn al-Ḥakam al-Rabḍī ibn Hishām ibn ʿAbd al-Raḥmān al-Dākhil,يدعم جزئيًا,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),يدعم النسب؛ لا يذكر الكنية أبو المطرف,https://www.britannica.com/biography/Abd-al-Rahman-III
ATT-034,AST-017,عبد الرحمن | أبو المطرف | بن محمد بن عبد الله | الأموي | الناصر لدين الله,موثّق,دولة الإسلام في الأندلس,ج1 ص401 (بحسب ترقيم الشاملة للمطبوع)، حاشية (١),كان عبد الرحمن قد اتخذ سمة الخلافة وتلقب بالناصر لدين الله,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23) — الموضع في حاشية عنان نفسه,يدعم اللقب؛ الكنية غير موجودة في الصفحات المفحوصة,https://shamela.ws/book/1009/393
ATT-035,AST-018,915–976,موثّق,دولة الإسلام في الأندلس,ج1 ص483 (بحسب ترقيم الشاملة للمطبوع),مولده حسبما تقدم بقرطبة في ٢٤ من جمادى الأولى وقيل في غرة رجب سنة ٣٠٢ هـ (٩١٥ م),يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),,https://shamela.ws/book/1009/474
ATT-036,AST-018,915–976,موثّق,دولة الإسلام في الأندلس,ج1 ص517 (بحسب ترقيم الشاملة للمطبوع),لما توفي الحكم المستنصر بالله، في اليوم الثاني من صفر سنة ٣٦٦ هـ,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),٣٦٦هـ = ٩٧٦م,https://shamela.ws/book/1009/508
ATT-037,AST-019,الحكم | أبو العاص | بن عبد الرحمن الناصر | الأموي | المستنصر بالله,موثّق,دولة الإسلام في الأندلس,ج1 ص482 (بحسب ترقيم الشاملة للمطبوع)، عنوان الفصل,الفصل الأول الحكم المستنصر بالله,يدعم جزئيًا,مطابق حرفيًا في الصفحة السابقة (ج1 ص482) لا في ص483 — صُحح الموضع (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),يدعم الاسم واللقب؛ الكنية أبو العاص غير واردة في الصفحة,https://shamela.ws/book/1009/473
ATT-038,AST-020,نحو 938–940 – 1002 (27 رمضان 392هـ),موثّق جزئيًا,دولة الإسلام في الأندلس,ج1 ص566 (بحسب ترقيم الشاملة للمطبوع)، الفصل الأول: الحاجب المنصور,وفي ليلة الإثنين ٢٧ رمضان سنة ٣٩٢، الموافق ١١ أغسطس سنة ١٠٠٢,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),يدعم الوفاة 1002,https://shamela.ws/book/1009/556
ATT-039,AST-020,نحو 938–940 – 1002 (27 رمضان 392هـ),موثّق جزئيًا,دولة الإسلام في الأندلس,ج1 ص566 (بحسب ترقيم الشاملة للمطبوع),إذ كان مولده في سنة ٣٢٨ هـ,يدعم (بعد التصحيح),مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),٣٢٨هـ = 939/940م لا 938 (٣٢٧هـ) | خالف القيمة السابقة؛ يدعم القيمة المصححة في v5.2.,https://shamela.ws/book/1009/556
ATT-040,AST-021,محمد | أبو عامر | بن عبد الله بن أبي عامر | المعافري | المنصور,موثّق,دولة الإسلام في الأندلس,ج1 ص521 (بحسب ترقيم الشاملة للمطبوع)، الفصل الثاني: هشام المؤيد بالله,محمد بن عبد الله بن محمد بن عبد الله بن أبي عامر المعافري,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),يدعم الاسم والنسب والنسبة؛ الكنية (أبو عامر) غير واردة هنا,https://shamela.ws/book/1009/512
ATT-041,AST-022,توفي بعد 400هـ (1009م)؛ السنة المحددة غير معروفة (نحو 1013م عند Britannica، و427هـ/1036م عند الزركلي),موثّق جزئيًا,Encyclopaedia Britannica (مرجعي عام),رأس المقالة,"Abū al-Qāsim al-Zahrāwī (born c. 936, near Córdoba [Spain]—died c. 1013)",يدعم,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),,https://www.britannica.com/biography/Abu-al-Qasim
ATT-042,AST-023,خلف | أبو القاسم | بن عباس | الزهراوي | ,موثّق,Encyclopaedia Britannica (مرجعي عام),متن المقالة,Abū al-Qāsim Khalaf ibn ʿAbbās al-Zahrāwī,يدعم,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),لم يُعثر على نص أولي (الصلة/الجذوة) قابل للفتح,https://www.britannica.com/biography/Abu-al-Qasim
ATT-043,AST-024,قرطبة = Córdoba؛ عاصمة الإمارة والخلافة,موثّق,UNESCO — Historic Centre of Cordoba,Brief Synthesis,It became the capital of the emirate depending on Damascus in the 8th century.,يدعم,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),,https://whc.unesco.org/en/list/313
ATT-044,AST-024,قرطبة = Córdoba؛ عاصمة الإمارة والخلافة,موثّق,Metropolitan Museum — Heilbrunn Timeline of Art History,فقرة عبد الرحمن الأول,'Abd al-Rahman I made Córdoba his capital and unified al-Andalus,يدعم,مطابق حرفيًا مع حذف «(r. 756–88)» وتتمة «under his rule» (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),,https://www.metmuseum.org/essays/the-art-of-the-umayyad-period-in-spain-711-1031
ATT-045,AST-025,"مدينة الزهراء = Medina Azahara؛ موقع أثري غرب قرطبة (37.8859, -4.8677 بحسب UNESCO)",موثّق,UNESCO — Caliphate City of Medina Azahara,بيانات الموقع (Coordinates),N37 53 9.2 W4 52 3.7,يدعم,مطابق حرفيًا (فحص مباشر),"= 37.8859, -4.8677 تطابق الإحداثيات المقترحة",https://whc.unesco.org/en/list/1560
ATT-046,AST-025,"مدينة الزهراء = Medina Azahara؛ موقع أثري غرب قرطبة (37.8859, -4.8677 بحسب UNESCO)",موثّق,دولة الإسلام في الأندلس,ج1 ص437 (بحسب ترقيم الشاملة للمطبوع),في ساحة تقع شمال غربي قرطبة، على قيد خمسة أميال أو ستة منها,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),,https://shamela.ws/book/1009/429
ATT-047,AST-025,"مدينة الزهراء = Medina Azahara؛ موقع أثري غرب قرطبة (37.8859, -4.8677 بحسب UNESCO)",موثّق,دولة الإسلام في الأندلس,ج1 ص442 (بحسب ترقيم الشاملة للمطبوع),تقع هذه الأطلال الضخمة غربي قرطبة على بعد نحو سبعة أميال منها,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),تفاوت داخلي في المسافة (5–6 أو 7 أميال),https://shamela.ws/book/1009/434
ATT-048,AST-025,"مدينة الزهراء = Medina Azahara؛ موقع أثري غرب قرطبة (37.8859, -4.8677 بحسب UNESCO)",موثّق,Discover Islamic Art (Museum With No Frontiers),Address,"Ctra. de Palma del Río, km 8, Córdoba, Spain",يدعم جزئيًا,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),,https://islamicart.museumwnf.org/database_item.php?id=monument%3Bisl%3Bes%3Bmon01%3B2%3Ben
ATT-049,AST-026,درهم عبد الرحمن الثالث 316هـ فضة (MAN),موثّق جزئيًا,The Coinage of al-Andalus,p. 74,"In the same year, the new caliph reopened the Cordoba mint, which coined gold coins (dinars)",يدعم جزئيًا,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),يسند سياق ضرب الدراهم 316هـ لا القطعة ذاتها؛ صفحات MAN لم تُستخرج نصوصها,https://shedet.journals.ekb.eg/article_87829_4b1aefcbf0be7e09c877183df0d16b06.pdf
ATT-050,AST-026,درهم عبد الرحمن الثالث 316هـ فضة (MAN),موثّق جزئيًا,دولة الإسلام في الأندلس,ج1 ص447 (بحسب ترقيم الشاملة للمطبوع),أمر في سنة ٣١٦ هـ، باتخاذ دار السِّكة داخل مدينة قرطبة لضرب العين من الدنانير والدراهم,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),سياق فقط، لا القطعة,https://shamela.ws/book/1009/439
ATT-051,AST-027,إعلان عبد الرحمن الثالث الخلافة سنة 316هـ/929م,حُسم الخلاف,دولة الإسلام في الأندلس,ج1 ص429 (بحسب ترقيم الشاملة للمطبوع),ونفذ الأمر بذلك في يوم الجمعة مستهل ذي الحجة سنة ٣١٦ هـ,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),,https://shamela.ws/book/1009/421
ATT-052,AST-027,إعلان عبد الرحمن الثالث الخلافة سنة 316هـ/929م,حُسم الخلاف,The Coinage of al-Andalus,p. 74,"In the year 316/929 the eighth emir of al-Andalus, 'Abd al-Raḥmān III, was proclaimed caliph in Cordoba.",يدعم,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),,https://shedet.journals.ekb.eg/article_87829_4b1aefcbf0be7e09c877183df0d16b06.pdf
ATT-053,AST-027,إعلان عبد الرحمن الثالث الخلافة سنة 316هـ/929م,حُسم الخلاف,دولة الإسلام في الأندلس,ج1 ص401 (بحسب ترقيم الشاملة للمطبوع)، حاشية (١),كان عبد الرحمن قد اتخذ سمة الخلافة وتلقب بالناصر لدين الله منذ سنة ٣١٧ هـ,يخالف,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23) — الموضع في حاشية عنان نفسه,تعارض داخلي عند عنان,https://shamela.ws/book/1009/393
ATT-054,AST-027,إعلان عبد الرحمن الثالث الخلافة سنة 316هـ/929م,حُسم الخلاف,Metropolitan Museum — Heilbrunn Timeline of Art History,فقرة عبد الرحمن الثالث,who became the first Spanish Umayyad amir to declare himself caliph (929),يدعم,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),,https://www.metmuseum.org/essays/the-art-of-the-umayyad-period-in-spain-711-1031
ATT-055,AST-013,936 / محرم 325هـ (بدء البناء),موثّق,دولة الإسلام في الأندلس,ج1 ص437 (بحسب ترقيم الشاملة للمطبوع),وكان البدء في بنائها في فاتحة المحرم سنة خمس وعشرين وثلثمائة (نوفمبر سنة ٩٣٦ م),يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),فتحه المحقق الرئيس مباشرة.,https://shamela.ws/book/1009/429
ATT-056,AST-013,936 / محرم 325هـ (بدء البناء),موثّق,UNESCO — Caliphate City of Medina Azahara,Description,built in the mid-10th century CE by the Umayyad dynasty as the seat of the Caliphate of Cordoba,يدعم جزئيًا,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),يدعم منتصف القرن العاشر لا السنة بعينها.,https://whc.unesco.org/en/list/1560
ATT-057,AST-014,1009–1031 / 399–422هـ,موثّق جزئيًا,دولة الإسلام في الأندلس,ج1 ص642 (بحسب ترقيم الشاملة للمطبوع)، الكتاب الرابع، الفصل الأول,تربع محمد بن هشام الملقب بالمهدي على كرسي الخلافة، مكان الخليفة هشام المؤيد، في ١٧ جمادى الآخرة سنة ٣٩٩ هـ (١٦ فبراير سنة ١٠٠٩ م),يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),الشاهد نفسه في ATT-009 يثبت أحد طرفي النطاق.,https://shamela.ws/book/1009/631
