المعرف,الفئة,العنوان الأصلي,العنوان العربي/الترجمة الوصفية,المسؤولية العلمية,الناشر/المؤسسة,السنة,الطبعة/الأجزاء,ISBN/DOI,بيانات الدورية,بيانات المخطوط,النوع,اللغة,اللغة الأساسية,العصر,المحاور,النطاق الجغرافي,القيمة البحثية,مستوى القارئ,التقييم,سبب التقييم وحدود الاستخدام,رابط السجل/الناشر,رابط النص/المادة,الإتاحة,الحقوق,حالة التحقق,ما الذي فُحص فعليًا,أساس الوصف,فائدة المشروع,ملاحظات,ربط بـ v4.9,الإصدار,سجل التغيير,تاريخ التحقق,معرف المسار
LIB-BK-063,كتاب حديث,"Law, Society and Culture in the Maghrib, 1300–1500",القانون والمجتمع والثقافة في المغرب 1300–1500,David S. Powers,Cambridge University Press (Cambridge Studies in Islamic Civilization),2002,278 ص,ISBN 9780521816915 (مجلد)؛ 9780521120593 (ورقي)؛ DOI 10.1017/CBO9780511550393,,,كتاب,إنجليزية,إنجليزية,غرناطة النصرية; الممالك المتأخرة,مؤسسات/قضاء/إدارة; فلسفة وفقه; مجتمع,المغرب (فاس، تلمسان)؛ بصلة غير مباشرة بالأندلس,ست دراسات حالة من فتاوى المعيار (أبوة، حقوق مياه، أوقاف أسرية...) تبيّن عمل المفتي والقاضي؛ نموذج منهجي لقراءة النوازل الأندلسية.,متقدم,B,ممتاز منهجيًا لكن جغرافيته مغربية لا أندلسية,https://www.cambridge.org/core/books/law-society-and-culture-in-the-maghrib-13001500/EC568A7DB529F4F13289B39BEBFAC573,,شراء/اشتراك (Cambridge Core),غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت صفحة Cambridge Core (الفهرس الكامل والوصف) — تاريخ التحقق 2026-09-23,فهرس/وصف ناشر,درس (منهج قراءة الفتاوى),,,v1.0,,2026-09-23,T-28
LIB-BK-064,كتاب حديث,Till God Inherits the Earth: Islamic Pious Endowments in al-Andalus (9–15th Centuries),حتى يرث الله الأرض: الأوقاف الإسلامية في الأندلس (ق9–15),Alejandro García Sanjuán,Brill (The Medieval and Early Modern Iberian World، 31),2007,545 ص,ISBN 9789004153585,,,كتاب,إنجليزية,إنجليزية,شامل,مؤسسات/قضاء/إدارة; فلسفة وفقه; اقتصاد وتجارة; التعليم,الأندلس,الدراسة الشاملة الوحيدة للأحباس في الأندلس: أساسها الفقهي ودورها الاقتصادي والاجتماعي (خيري، ديني، تعليمي، جهاد) مع ملاحق نصوص مترجمة.,بحثي متخصص,A,دراسة جامعية مبنية على النوازل والوثائق,https://books.google.com/books/about/Till_God_Inherits_the_Earth.html?id=YHgqAAAAYAAJ,,شراء,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت صفحة Google Books (الوصف والبيانات) — تاريخ التحقق 2026-09-23,وصف ناشر,مقال موسوعي; درس,,,v1.0,,2026-09-23,T-29
LIB-BK-065,كتاب حديث,"Architecture of the Islamic West: North Africa and the Iberian Peninsula, 700–1800",عمارة الغرب الإسلامي: شمال أفريقيا وشبه الجزيرة الإيبيرية 700–1800,Jonathan M. Bloom,Yale University Press,2020,320 ص (Open Library)؛ 281 صورة (حسب مراجعة Al-Masāq),ISBN 9780300218701,,,كتاب,إنجليزية,إنجليزية,شامل,عمارة وفنون; مدن وعمران; آثار,الأندلس؛ المغرب؛ صقلية,أحدث مسح شامل بالإنجليزية لعمارة الغرب الإسلامي (جامع قرطبة، الحمراء، سقف الكابيلا بالاتينا...)؛ مثالي لبطاقات المعالم.,متوسط,A,لمتخصص كبير في الفن الإسلامي؛ مسح عام لا دراسة لكل موقع,https://yalebooks.yale.edu/2020/06/09/architecture-of-the-islamic-west-innovative-impressive-and-overlooked/,,شراء,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت مقالة مدونة Yale University Press عن الكتاب؛ الصفحات والصور من عنوان مراجعة Al-Masāq — تاريخ التحقق 2026-09-23 || v1.1: فتحت سجل Open Library لـ ISBN 9780300218701: Yale University Press، 2020، 320 ص؛ صفحة yalebooks للكتاب محجوبة (robots) — تاريخ التحقق 2026-09-23,وصف ناشر,صورة; بطاقة معلم; خريطة; مقال موسوعي,الصور محفوظة الحقوق — للاستشهاد لا لإعادة النشر,,v1.0,v1.1: edition_volumes,2026-09-23,T-30
LIB-BK-066,كتاب حديث,The Alhambra. Vol. I: From the Ninth Century to Yūsuf I (1354),الحمراء، المجلد الأول: من القرن التاسع إلى يوسف الأول (1354),Antonio Fernández-Puertas; رسوم Owen Jones; تقديم Godfrey Goodwin,Saqi Books، لندن,1997,460 ص (Open Library),ISBN 0-86356-466-6,,,كتاب,إنجليزية,إنجليزية,غرناطة النصرية,عمارة وفنون; نقوش; آثار,غرناطة,دراسة معمارية-زخرفية مفصلة للحمراء ونقوشها وأنظمة تناسبها لمتخصص من غرناطة.,بحثي متخصص,A,مرجع تقني تفصيلي؛ ثمين ونادر، ولم يصدر إلا المجلد الأول,https://archivoybiblioteca.realacademiabellasartessanfernando.com/cgi-bin/koha/opac-detail.pl?biblionumber=28371,,استعارة (مكتبات متخصصة)/سوق الكتب المستعملة,غير متحقق,سجل ببليوغرافي فقط,"فتحت سجل مكتبة Real Academia de Bellas Artes de San Fernando — تاريخ التحقق 2026-09-23 || v1.1: فتحت سجل Open Library لـ 0863564666: Saqi Books 1997، 460 ص (العنوان الفرعي هناك: Plans, Elevations, Sections & Drawings، Vol 1 — صيغة بائع) — تاريخ التحقق 2026-09-23",سجل ببليوغرافي,صورة; بطاقة معلم,صدور مجلدات لاحقة: لم أعثر عليه ضمن البحث المنفذ,,v1.0,v1.1: edition_volumes,2026-09-23,T-31
LIB-BK-067,كتاب حديث,The Alhambra,قصر الحمراء,Robert Irwin,Profile Books (Wonders of the World)؛ Harvard University Press (طبعة أمريكية),2004 (ط1 — لم أتحقق)؛ 2005 ورقي,غير متحقق,ISBN 9781861974877 (ورقي)؛ 9780674060333 (Harvard),,,كتاب,إنجليزية,إنجليزية,غرناطة النصرية; الإرث,عمارة وفنون; الإرث; تأريخ ونقد مصادر,غرناطة,مدخل مكثف وذكي لتاريخ الحمراء ووظائفها المحتملة ومعاني زخارفها وتلقيها الاستشراقي (إيرفنغ، بورخيس).,تمهيدي,C,مقدمة جادة لمستعرب معروف، لا تغني عن الدراسات المتخصصة,https://profilebooks.com/work/the-alhambra/,,شراء,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت صفحة Profile Books (الوصف والسلسلة) — تاريخ التحقق 2026-09-23,وصف ناشر,درس; مقال موسوعي,نسخة على Internet Archive مرفوعة من مستخدم — لا تُعتمد رابط إتاحة لعدم وضوح الحقوق,,v1.0,,2026-09-23,T-32
LIB-BK-068,كتاب حديث,The Handless Maiden: Moriscos and the Politics of Religion in Early Modern Spain,العذراء مقطوعة اليدين: الموريسكيون وسياسة الدين في إسبانيا الحديثة المبكرة,Mary Elizabeth Perry,"Princeton University Press (Jews, Christians, and Muslims from the Ancient to the Modern World)",2005,224 ص,DOI 10.1515/9781400849321؛ ISBN 9781400849321 (إلكتروني),,,كتاب,إنجليزية,إنجليزية,السقوط والموريسكيون,المرأة; الأديان والجماعات; مجتمع,إسبانيا,يركّز على النساء الموريسكيات ومقاومتهن الثقافية اليومية (تعليم العربية، الشعائر في البيت) من مرسوم 1502 حتى الطرد. يسد فجوة المرأة والموريسكيين.,متقدم,A,دراسة جامعية محكمة؛ منظور جندري,https://www.degruyterbrill.com/document/doi/10.1515/9781400849321/html,,شراء/اشتراك,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت صفحة De Gruyter Brill (الوصف والبيانات) — تاريخ التحقق 2026-09-23,وصف ناشر,مقال موسوعي; درس,,,v1.0,,2026-09-23,T-34
LIB-BK-069,كتاب حديث,Blood and Faith: The Purging of Muslim Spain,الدم والإيمان: تطهير إسبانيا من مسلميها,Matthew Carr,The New Press، نيويورك,2009 (مجلد — لم أتحقق)؛ 2011 ورقي,368 ص,ISBN 9781595586407 (ورقي 2011),,,كتاب,إنجليزية,إنجليزية,السقوط والموريسكيون,الأديان والجماعات; سياسة,إسبانيا,سرد سلس لمسار الموريسكيين من سقوط غرناطة إلى الطرد، موجّه للقارئ العام.,تمهيدي,C,عمل صحفي-تاريخي جيد التوثيق نسبيًا لكنه ليس دراسة أكاديمية؛ يُكمل بهارفي وغارسيا أرينال,https://www.strandbooks.com/blood-and-faith-the-purging-of-muslim-spain-9781595586407.html,,شراء,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت صفحة Strand Books (الوصف والبيانات) — تاريخ التحقق 2026-09-23,وصف ناشر,درس; خط زمني,,,v1.0,,2026-09-23,T-35
LIB-BK-070,كتاب حديث,Historia de los moriscos: vida y tragedia de una minoría,تاريخ الموريسكيين: حياة أقلية ومأساتها,Antonio Domínguez Ortiz; Bernard Vincent,Alianza Editorial (Alianza Universidad، رقم 415)؛ ط1 Revista de Occidente 1978 (لم أتحقق),1978 (ط1 — لم أتحقق)؛ طبعة Alianza الأولى 1985,313 ص (طبعة Alianza 1985)؛ ثبت المراجع ص291–313,ISBN 8420624152 (Alianza),,,كتاب,إسبانية,إسبانية,السقوط والموريسكيون,الأديان والجماعات; مجتمع; سياسة,إسبانيا,الكتاب الكلاسيكي بالإسبانية عن الموريسكيين: السكان والاقتصاد والمجتمع والقمع والطرد، لمؤرخَين كبيرين.,متوسط,A,عمل مرجعي كلاسيكي؛ يُستكمل بالأبحاث الأحدث,https://books.google.com/books/about/Historia_de_los_moriscos.html?hl=es&id=3IyLEtQRIyoC,,شراء/استعارة,غير متحقق,سجل ببليوغرافي فقط,البيانات من نتائج البحث (Amazon/IberLibro/Dialnet)؛ تعذّر فتح Dialnet — تاريخ التحقق 2026-09-23 || v1.1: فتحت سجل Open Library لـ 8420624152: Alianza Editorial، 1a ed. 1985، 313 ص، Alianza Universidad 415 — تاريخ التحقق 2026-09-23,سجل ببليوغرافي,مقال موسوعي; درس,,,v1.0,"v1.1: publisher, year, edition_volumes",2026-09-23,T-36
LIB-BK-071,كتاب حديث,محنة مسلمي الأندلس عشية سقوط غرناطة وبعدها,محنة مسلمي الأندلس عشية سقوط غرناطة وبعدها,محمد عبده حتاملة,دار الشعب (المدينة لم أتحقق منها),1397هـ/1977م (ط1),160 ص,لم أتحقق,,,كتاب,عربية,عربية,غرناطة النصرية; السقوط والموريسكيون,الأديان والجماعات; سياسة,غرناطة؛ إسبانيا,من أبرز الكتابات العربية عن محنة المدجنين والموريسكيين؛ للمؤلف سلسلة مرتبطة (التنصير القسري في عهد الملكين الكاثوليكيين؛ التهجير القسري في عهد فيليب الثاني).,متوسط,B,لمؤرخ أكاديمي أردني متخصص؛ نبرته دفاعية أحيانًا — يُقرأ مع الدراسات الغربية الحديثة,https://www.goodreads.com/author/show/7178053._,,شراء (بيانات الناشر غير متحققة),غير متحقق,سجل ببليوغرافي فقط,فتحت صفحة المؤلف على Goodreads (قائمة عناوينه)؛ لم أعثر على صفحة ناشر أو فهرس مكتبة ضمن البحث المنفذ — تاريخ التحقق 2026-09-23 || v1.1: فتحت https://archive.org/metadata/mi7nat-mslm-andls/metadata: «محنة مسلمي الأندلس عشية سقوط غرناطة وبعدها»، د. محمد عبده حتاملة، دار الشعب، 1397هـ-1977م الطبعة الأولى، 160 ص (بيانات رفع غير رسمي على أرشيف الإنترنت — دليل ببليوغرافي فقط)؛ نص OCR لم يُظهر صفحة الإصدار. تاريخ التحقق 2026-09-23,سجل ببليوغرافي,مقال موسوعي; درس,الروابط المنتشرة للتحميل مواقع غير مرخصة — لا تُعتمد,,v1.0,"v1.1: publisher, year, edition_volumes",2026-09-23,T-37
LIB-BK-072,كتاب حديث,Colonial al-Andalus: Spain and the Making of Modern Moroccan Culture,الأندلس الاستعمارية: إسبانيا وصناعة الثقافة المغربية الحديثة,Eric Calderwood,Belknap Press of Harvard University Press,2018,408 ص,ISBN 978-0-674-98032-7,,,كتاب,إنجليزية,إنجليزية,الإرث,الإرث; تأريخ ونقد مصادر; أدب وشعر,إسبانيا؛ المغرب,يبيّن كيف صار «الأندلس» ركيزة للهوية المغربية الحديثة عبر الاستعمار الإسباني ثم الحركة الوطنية؛ أساسي لمحور الذاكرة والأسطورة.,متقدم,A,دراسة حائزة اهتمامًا واسعًا؛ مجالها الحقبة الحديثة لا الوسيطة,https://networks.h-net.org/node/835449/reviews/4126344/anderson-calderwood-colonial-al-andalus-spain-and-making-modern,,شراء,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت مراجعة H-Net (بيانات الكتاب وملخص الفصول) — تاريخ التحقق 2026-09-23,فهرس عبر مراجعة,مقال موسوعي (الإرث); درس,,,v1.0,,2026-09-23,T-38
LIB-BK-073,كتاب حديث,The Afterlife of al-Andalus: Muslim Iberia in Contemporary Arab and Hispanic Narratives,الحياة الآخرة للأندلس: إيبيريا المسلمة في السرديات العربية والإسبانية المعاصرة,Christina Civantos,SUNY Press (Latin American and Iberian Thought and Culture),2017,362 ص (Open Library),ISBN 9781438466699 (SUNY Press),,,كتاب,إنجليزية,إنجليزية,الإرث,الإرث; أدب وشعر; تأريخ ونقد مصادر,العالم العربي؛ إسبانيا؛ أمريكا اللاتينية,يحلل حضور الأندلس في الروايات والدراما والخطاب العربي والإسباني المعاصر؛ يكمّل Calderwood.,متقدم,B,دراسة أدبية نقدية؛ لا تتناول التاريخ الوسيط نفسه,https://www.jstor.org/stable/jj.18252247,,شراء/اشتراك,غير متحقق,سجل ببليوغرافي فقط,البيانات من نتائج البحث (أمازون، JSTOR، MERIP)؛ صفحة JSTOR لم تُحمَّل؛ رابط eScholarship تبيّن أنه مراجعة للكتاب لا الكتاب نفسه — تاريخ التحقق 2026-09-23 || v1.1: فتحت سجل Open Library لـ 9781438466699: SUNY Press، 2017، 362 ص؛ لم أتحقق من 9781438466705 — تاريخ التحقق 2026-09-23,سجل ببليوغرافي,مقال موسوعي (الإرث),,,v1.0,"v1.1: isbn_doi, edition_volumes",2026-09-23,T-40
LIB-BK-074,كتاب حديث,L'Espagne musulmane au temps des Naṣrides (1232–1492),إسبانيا الإسلامية في عهد بني نصر (1232–1492),Rachel Arié,E. de Boccard، باريس,1973 (نشر E. de Boccard)؛ أطروحة دكتوراه 1971 (Sorbonne Nouvelle، إشراف Claude Cahen),لم أتحقق,لم أتحقق,,,كتاب,فرنسية,فرنسية,غرناطة النصرية,مؤسسات/قضاء/إدارة; مجتمع; عسكري; عمارة وفنون,مملكة غرناطة,أشمل دراسة لمؤسسات مملكة غرناطة وحياتها الاجتماعية والاقتصادية والعسكرية واللباس؛ مرجع أساسي للحياة اليومية النصرية.,بحثي متخصص,A,أطروحة دولة كلاسيكية بإشراف Claude Cahen؛ قديمة نسبيًا,https://www.sudoc.fr/013065831,,استعارة/سوق مستعمل,غير متحقق,سجل ببليوغرافي فقط,فتحت سجل Sudoc (الأطروحة 1971 والإشارة لطبعة De Boccard 1973) — تاريخ التحقق 2026-09-23 || v1.1: فتحت سجل SUDOC 013065831 (أطروحة 1971، إشراف Claude Cahen، مع إشارة إلى النشر عند de Boccard 1973) — تاريخ التحقق 2026-09-23,سجل ببليوغرافي,مقال موسوعي; درس,,,v1.0,v1.1: year,2026-09-23,T-42
LIB-BK-075,كتاب حديث,La frontière et les hommes (VIIIe–XIIe siècle): le peuplement musulman au nord de l'Èbre et les débuts de la reconquête aragonaise,الحدود والناس (ق8–12): الاستيطان الإسلامي شمال نهر إبرة وبدايات الاسترداد الأراغوني,Philippe Sénac; تقديم Pierre Toubert,Maisonneuve et Larose، باريس,2000,598 ص,ISBN 2706814217,,,كتاب,فرنسية,فرنسية,الإمارة; الخلافة; الفتنة والطوائف; المرابطون,مدن وعمران; آثار; عسكري; مجتمع,الثغر الأعلى (سرقسطة، وشقة، لاردة),دراسة أثرية-تاريخية للاستيطان الإسلامي والحصون والقرى في الثغر الأعلى حتى الفتح الأراغوني؛ ممتازة للأطلس.,بحثي متخصص,A,أطروحة مبنية على المسح الأثري والمصادر,https://www.sudoc.fr/04857189X,,استعارة/شراء,غير متحقق,سجل ببليوغرافي فقط,فتحت سجل Sudoc (العنوان، ISBN، السنة)؛ الناشر وعدد الصفحات من عناوين مراجعات Persée/ResearchGate — تاريخ التحقق 2026-09-23 || v1.1: فتحت سجل Open Library لـ 2706814217: Maisonneuve et Larose 2000، 598 ص، تقديم Pierre Toubert — تاريخ التحقق 2026-09-23,سجل ببليوغرافي,خريطة (حصون وقرى); مقال موسوعي,,,v1.0,"v1.1: isbn_doi, edition_volumes",2026-09-23,T-43
LIB-BK-076,كتاب حديث,Le Portugal musulman (VIIIe–XIIIe siècle): l'Occident d'al-Andalus sous domination islamique,البرتغال الإسلامية (ق8–13): غرب الأندلس تحت الحكم الإسلامي,Christophe Picard,Maisonneuve et Larose، باريس,2000,422 ص,لم أتحقق,,,كتاب,فرنسية,فرنسية,شامل,سياسة; مدن وعمران; بحرية وموانئ; مجتمع,غرب الأندلس (البرتغال الحالية: لشبونة، شلب، باجة، مارتلة),التركيب المرجعي لتاريخ غرب الأندلس؛ يغطي الإقليم الأقل حضورًا في المراجع العربية.,متقدم,A,لمتخصص في الغرب الإسلامي؛ يُستكمل بالأبحاث الأثرية البرتغالية الأحدث,https://shs.hal.science/halshs-00734011v1,,استعارة/شراء,غير متحقق,سجل ببليوغرافي فقط,البيانات من عناوين مراجعات (HAL-SHS، Persée/BCAI) في نتائج البحث؛ تعذّر فتح الصفحتين — تاريخ التحقق 2026-09-23,سجل ببليوغرافي,خريطة; مقال موسوعي,,,v1.0,,2026-09-23,T-44
LIB-BK-077,كتاب حديث,في التاريخ العباسي والأندلسي,في التاريخ العباسي والأندلسي,أحمد مختار العبادي,دار النهضة العربية للطباعة والنشر، بيروت,1972,577 ص (بحسب بيانات أرشيف الإنترنت),لم أتحقق,,,كتاب,عربية,عربية,الفتح والولاة; الإمارة; الخلافة; الفتنة والطوائف,سياسة; تأريخ ونقد مصادر,الأندلس؛ المشرق العباسي,محاضرات جامعية لأحد رواد التاريخ الأندلسي بالعربية؛ القسم الثاني (ستة فصول) في تاريخ الأندلس حتى تدخل يوسف بن تاشفين والزلاقة (479هـ/1086م)؛ يفيد في الربط بين التاريخين العباسي والأموي الأندلسي,متوسط,B,مؤلف مرجعي؛ كتاب جامعي تعليمي قديم نسبيًا؛ لم أفحص المتن. لم أعثر ضمن البحث المنفذ على كتاب بعنوان «في تاريخ المغرب والأندلس» للعبادي بطبعة متحققة,https://archive.org/details/Tarikh3bsAndls,https://archive.org/details/Tarikh3bsAndls,فهرس فقط,غير متحقق (رفع غير رسمي على أرشيف الإنترنت),سجل ببليوغرافي فقط,فتحت بيانات مادة أرشيف الإنترنت Tarikh3bsAndls (metadata API): العنوان والمؤلف والناشر ومكانه والسنة 1972 وعدد الصفحات ووصف المحتويات؛ الرفع غير رسمي، ويُعتمد عليه دليلًا ببليوغرافيًا فقط (تاريخ التحقق 2026-09-23),وصف في سجل أرشيف الإنترنت,درس; خط زمني,الطلب الأصلي كان «في تاريخ المغرب والأندلس» للعبادي؛ هذا عمل مختلف متحقق. العنوان المطلوب بقي غير محسوم,,v1.1,v1.1: سجل جديد,2026-09-23,AR-36
LIB-ART-001,بحث علمي,Al-Qanṭara: Revista de Estudios Árabes,القنطرة: مجلة الدراسات العربية,CSIC – Escuela de Estudios Árabes / ILC (هيئة التحرير),"Consejo Superior de Investigaciones Científicas (CSIC), Madrid",1980– (مستمرة),,ISSN 0211-3589 (ورقي); e-ISSN 1988-2955,(مجلة/سلسلة — لا ينطبق),,مجلة محكّمة (مورد),إسبانية/إنجليزية/فرنسية/عربية,إسبانية,شامل,تأريخ ونقد مصادر; سياسة; مجتمع; الأديان والجماعات; مسكوكات; نقوش; علوم وطب وفلك; لغة; مخطوطات,الأندلس والمغرب والعالم الإسلامي,المجلة المرجعية الأولى في الدراسات الأندلسية؛ أرشيف مفتوح يغطي الفتح والتأريخ والمسكوكات والموريسكيين والعلوم. تجيب عن معظم الأسئلة الدقيقة التي لا تغطيها الكتب العامة.,بحثي متخصص,A,مجلة CSIC محكّمة تحكيمًا مزدوجًا ومفهرسة دوليًا؛ مقالاتها متخصصة جدًا ومعظمها بالإسبانية.,https://doaj.org/api/search/journals/title%3A%22Al-Qantara%22,https://al-qantara.revistas.csic.es/index.php/al-qantara,نص كامل مجاني,CC BY 4.0 (حسب سجل DOAJ),اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل DOAJ (ISSN، الناشر، الترخيص CC BY 4.0، بلا رسوم نشر)؛ موقع المجلة نفسه تعذّر فتحه آليًا (robots/SSL)، واستُخرجت عشرات المقالات من فهرسة DOAJ. (تاريخ التحقق 2026-09-23) || v1.1: فتحت سجل HathiTrust (API ISSN 0211-3589: al-Qantara، البدء 1980) وبوابة ISSN (ISSN-L 0211-3589، e-ISSN 1988-2955) — يؤكد البيانات — تاريخ التحقق 2026-09-23,وصف ناشر,مقال موسوعي; درس; خط زمني,تُستخدم كنقطة انطلاق لمعظم فجوات القاعدة؛ الأعداد 1980–1995 كانت بعنوان مختلف قليلًا ولم أتحقق من توافرها الرقمي الكامل.,,v1.0,v1.1: تأكيد دون تغيير,2026-09-23,R-01
LIB-ART-002,بحث علمي,Journal of Medieval Iberian Studies,مجلة دراسات إيبيريا الوسيطة,Taylor & Francis؛ بالتعاون مع جمعية American Academy of Research Historians of Medieval Spain (لم أتحقق من صيغة الرعاية),Taylor & Francis (Routledge),2009– ,,ISSN 1754-6559 (ورقي)؛ ISSN إلكتروني 1754-6567 (من بوابة ISSN),(مجلة/سلسلة — لا ينطبق),,مجلة محكّمة (مورد),إنجليزية أساسًا,إنجليزية,شامل,تأريخ ونقد مصادر; الأديان والجماعات; سياسة; مجتمع,إيبيريا الوسيطة (مسلمة ومسيحية ويهودية),المنبر الإنجليزي الرئيس لدراسات إيبيريا الوسيطة بمقاربة مقارنة بين الجماعات؛ مفيد لنقاشات التأريخ والذاكرة ('الاسترداد'، 'التعايش').,بحثي متخصص,A,مجلة محكّمة رائدة بالإنجليزية؛ مدفوعة الاشتراك غالبًا.,https://portal.issn.org/resource/issn/1754-6559,,اشتراك (مع بعض المقالات المفتوحة),غير متحقق,سجل ببليوغرافي فقط,فتحت سجل بوابة ISSN (ISSN 1754-6559، المملكة المتحدة)؛ صفحة Taylor & Francis رفضت الوصول (403)، وISSN الإلكتروني ظهر في نتائج البحث لبوابة ISSN. (تاريخ التحقق 2026-09-23),وصف ناشر,مقال موسوعي,,,v1.0,,2026-09-23,R-02
LIB-ART-003,بحث علمي,"Medieval Encounters: Jewish, Christian and Muslim Culture in Confluence and Dialogue",لقاءات وسيطة: الثقافات اليهودية والمسيحية والإسلامية في التقائها وحوارها,المحرر التنفيذي: Ryan Szpiech (حسب صفحة Brill),"Brill, Leiden",1995–,,ISSN 1380-7854 (ورقي، بوابة ISSN)؛ ISSN الإلكتروني لم أتحقق,(مجلة/سلسلة — لا ينطبق),,مجلة محكّمة (مورد),إنجليزية/فرنسية/ألمانية/إيطالية/إسبانية,إنجليزية,شامل,الأديان والجماعات; أدب وشعر; علوم وطب وفلك; فلسفة وفقه,المتوسط وإيبيريا (القرن 4–16م),متخصصة في تفاعل الجماعات الثلاث؛ أساسية لملف اليهود والمستعربين والجدل الديني والترجمة.,بحثي متخصص,A,ناشر أكاديمي، تحكيم، نطاق مقارن؛ نموذج هجين (اشتراك + خيار وصول مفتوح).,https://brill.com/view/journals/me/me-overview.xml,,اشتراك (مقالات مفتوحة متفرقة),غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت صفحة Brill (النطاق، المحررون، النموذج الهجين، سعر المقال) وسجل بوابة ISSN (هولندا). (تاريخ التحقق 2026-09-23) || v1.1: فتحت سجل HathiTrust (API ISSN 1380-7854): Medieval Encounters، أول مجلد 1995 (v.1 1995) — تاريخ التحقق 2026-09-23,وصف ناشر,مقال موسوعي,,,v1.0,v1.1: year,2026-09-23,R-03
LIB-ART-004,بحث علمي,Al-Masāq: Journal of the Medieval Mediterranean,المسَاق: مجلة المتوسط الوسيط,Society for the Medieval Mediterranean؛ المحررة Esther-Miriam Wagner (حسب موقع الجمعية),Taylor & Francis,1988–,,ISSN 0950-3110 (ورقي)؛ e-ISSN 1473-348X (بوابة ISSN),(مجلة/سلسلة — لا ينطبق),,مجلة محكّمة (مورد),إنجليزية أساسًا,إنجليزية,شامل,بحرية وموانئ; اقتصاد وتجارة; الأديان والجماعات; سياسة,المتوسط (القرن 5–15م),تغطي الاتصال المتوسطي والتجارة والبحر، وهي مهمة لربط الأندلس بالمغرب وصقلية والمشرق.,بحثي متخصص,A,مجلة محكّمة متخصصة؛ اشتراك.,https://portal.issn.org/resource/ISSN/0950-3110,https://www.societymedievalmediterranean.com/journal,اشتراك,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل بوابة ISSN (ISSN الورقي والإلكتروني وتنويعات العنوان) وصفحة الجمعية (النطاق والتحرير). صفحة T&F رفضت (403). (تاريخ التحقق 2026-09-23) || v1.1: فتحت سجل HathiTrust (API ISSN 0950-3110): Al-Masāq: studia arabo-islamica mediterranea، تاريخ البدء 1988 (v.1–5 1988–1992) — تاريخ التحقق 2026-09-23,وصف ناشر,مقال موسوعي; خريطة,,,v1.0,v1.1: year,2026-09-23,R-04
LIB-ART-005,بحث علمي,Anaquel de Estudios Árabes,رفّ الدراسات العربية,Universidad Complutense de Madrid,Ediciones Complutense,1990–,,ISSN 1130-3964؛ e-ISSN 1988-2645,(مجلة/سلسلة — لا ينطبق),,مجلة محكّمة (مورد),إسبانية/إنجليزية/عربية,إسبانية,شامل,أدب وشعر; لغة; تأريخ ونقد مصادر,العالم العربي والأندلس,مجلة مفتوحة للدراسات العربية واللغوية والأدبية؛ تنفع لملفات الأدب واللغة الأندلسية.,بحثي متخصص,B,محكّمة ومفتوحة، لكن الأندلس ليست محورها الوحيد.,https://doaj.org/api/search/journals/title%3AAnaquel,https://revistas.ucm.es/index.php/ANQE/index,نص كامل مجاني,CC BY 4.0 (DOAJ),اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل DOAJ (ISSN، الناشر، الترخيص، بلا رسوم). (تاريخ التحقق 2026-09-23) || v1.1: فتحت سجل HathiTrust (API ISSN 1130-3964): Anaquel de Estudios Árabes، البدء 1990 (v.1–2 1990–1991) — تاريخ التحقق 2026-09-23,وصف ناشر,مقال موسوعي,,,v1.0,v1.1: year,2026-09-23,R-05
